Benchmark Start Time,Provider Name,Provider VM Id,VM Role,Time,Value
2015-05-04 00:18:57,aws,i-6a62588d,default,1430699606,1.724
2015-05-04 08:18:17,aws,i-31ccf6d6,default,1430728317,1.6588
2015-05-04 16:18:20,aws,i-261d18c1,default,1430757136,1.6224
2015-05-05 02:18:29,aws,i-1a4d49fd,default,1430793063,3.8854
2015-05-04 12:17:57,aws,i-8e404569,default,1430742675,2.6146
2015-05-05 12:18:27,aws,i-1ba0a4fc,default,1430829092,5.0364
2015-05-05 14:18:56,aws,i-64555283,default,1430836345,1.6619
2015-05-06 04:35:51,aws,i-1f6365f8,default,1430887731,2.2763
2015-05-03 20:46:47,aws,i-5f9ba0b8,default,1430686786,2.7422
2015-05-04 04:17:59,aws,i-67271d80,default,1430713838,27.18
2015-05-05 04:18:24,aws,i-11686cf6,default,1430800315,1.8541
2015-05-05 08:18:26,aws,i-16c0c4f1,default,1430814704,2.0711
2015-05-05 00:18:45,aws,i-a4a3a643,default,1430785937,1.862
2015-05-05 20:18:30,aws,i-a8c9ce4f,default,1430857947,1.927
2015-05-05 22:18:05,aws,i-a0f3f447,default,1430865093,2.1171
2015-05-04 14:18:19,aws,i-73777294,default,1430749905,3.2446
2015-05-04 18:18:42,aws,i-12383df5,default,1430764297,2.4766
2015-05-04 22:18:46,aws,i-e0878207,default,1430778725,1.9296
2015-05-05 06:18:35,aws,i-301c18d7,default,1430807523,2.3646
2015-05-05 10:18:28,aws,i-daf0f43d,default,1430821931,2.5364
2015-05-06 00:18:13,aws,i-fe9d9a19,default,1430872303,1.9297
2015-05-03 22:18:39,aws,i-fe82b919,default,1430692360,2.1302
2015-05-04 02:17:53,aws,i-bd467c5a,default,1430706647,28.234
2015-05-04 06:18:10,aws,i-17f0caf0,default,1430721086,1.901
2015-05-04 10:18:11,aws,i-55a59fb2,default,1430735511,13.253
2015-05-04 20:18:23,aws,i-57e5e0b0,default,1430771507,2.0677
2015-05-06 02:18:47,aws,i-ee474109,default,1430879579,1.4661
2015-05-05 16:18:33,aws,i-f4040313,default,1430843509,2.0488
2015-05-05 18:18:38,aws,i-ac2f284b,default,1430850697,3.9427
2015-05-06 10:57:09,aws,i-c08c8a27,default,1430910620,2.2213
2015-05-06 12:18:46,aws,i-c2abad25,default,1430915513,2.4922
2015-05-06 14:18:51,aws,i-0c6362eb,default,1430922746,3.2134
2015-05-06 16:18:09,aws,i-541213b3,default,1430929892,2.3176
2015-05-06 18:18:27,aws,i-41c1c0a6,default,1430937101,26.29
2015-05-06 20:19:41,aws,i-65e6e782,default,1430944582,2.5598
2015-05-06 22:18:42,aws,i-569091b1,default,1430951546,13.413
2015-05-07 04:18:22,aws,i-92777775,default,1430973141,12.127
2015-05-07 16:18:43,aws,i-451c1fa2,default,1431016327,2.4036
2015-05-07 12:18:30,aws,i-9eb8b879,default,1431001891,4.276
2015-05-07 00:18:10,aws,i-c4b3b223,default,1430958652,3.5467
2015-05-07 06:17:50,aws,i-65252582,default,1430980263,4.3046
2015-05-07 10:18:35,aws,i-db88883c,default,1430994766,1.6406
2015-05-07 02:18:13,aws,i-d5555532,default,1430965890,2.3822
2015-05-08 02:18:30,aws,i-b05b5957,default,1431052320,2.1867
2015-05-07 08:18:38,aws,i-1fd8d8f8,default,1430987543,1.539
2015-05-07 18:18:34,aws,i-93cfcc74,default,1431023544,1.7942
2015-05-07 14:18:19,aws,i-c0696a27,default,1431009054,27.653
2015-05-08 08:21:26,aws,i-25dedcc2,default,1431074074,1.94
2015-05-07 20:18:17,aws,i-06edeee1,default,1431030786,1.7448
2015-05-07 22:20:46,aws,i-cb97942c,default,1431038024,15.0
